Korean,English
것,thing
하다,do
있다,there is
되다,become
나,me
없다,does not exist
사람,person
우리,we
아니다,no
같다,Same
대하다,subtend
년,year
때문,Because
말하다,say
위하다,for
그러나,however
알다,know
그렇다,Yes
또,also
사회,society
많다,a lot
좋다,good night
더,more
받다,receive
그것,that
집,house
나오다,come out
그리고,and
문제,problem
그런,that
살다,live
생각하다,think
모르다,don't know
속,inside
만들다,make
데,place
두,two
앞,front
경우,case
중,middle
어떤,which
잘,well
그녀,she
오다,come
문화,culture
생각,thought
어떻다,How about
명,number of people
통하다,pass
그러다,Then
소리,sound
다시,again
다른,different
이런,this
여자,female
정도,degree
뒤,back
듣다,listen
좀,a little
싶다,look like
함께,together
지나다,pass by
많이,many
너,you
주다,give
인간,human being
이렇다,It's like this
어머니,mother
의하다,be due to
시대,times
다음,next
이러하다,It's like this
누구,who
곳,place
여러,several
세계,world
운동,work out
퍼센트,percent
학교,school
대통령,president
시작하다,start
바로,as soon as
어느,any
무엇,what
정부,government
모든,every
번,th
그거,that
돈,money
국가,nation
그런데,however
날,me
여기,here
여성,female
친구,friend
마음,mind
후,after
가다,go
관계,relationship
아버지,father
남자,man
몸,body
얼굴,face
들어가다,enter
왜,why
나타나다,appear
지역,region
다르다,different
모습,figure
물,water
만나다,meet
보이다,show
이것,this
없이,without
이번,this time
길,road
생활,life
뿐,only
사이,between
방법,method
새롭다,be new
우리나라,Korea
내다,give
